feature,importance,signed_effect
required_car_parking_spaces,3.9091735632220503,-3.9091735632220503
country_ARE,2.8441753723509655,2.8441753723509655
country_HKG,2.1826466848394688,2.1826466848394688
country_NZL,1.8440517714708191,-1.8440517714708191
distribution_channel_Undefined,1.8275948144616803,1.8275948144616803
country_AGO,1.7833929237096893,1.7833929237096893
country_BGR,1.6397637959796765,-1.6397637959796765
country_PRT,1.618936778553744,1.618936778553744
country_GIB,1.5602036289347636,1.5602036289347636
deposit_type_Non Refund,1.4861919976939206,1.4861919976939206
country_SAU,1.3958086809096029,1.3958086809096029
country_NGA,1.3688534342824419,1.3688534342824419
market_segment_Offline TA/TO,1.347899349426497,-1.347899349426497
deposit_type_No Deposit,1.2907647418660315,-1.2907647418660315
country_SRB,1.2832565804222982,-1.2832565804222982
lead_time_bucket_Last-minute booker,1.253817723957103,-1.253817723957103
country_GEO,1.248101786892879,1.248101786892879
country_MDV,1.2311150223665681,1.2311150223665681
country_MEX,1.168509151943156,-1.168509151943156
market_segment_Undefined,1.1626738508914518,1.1626738508914518
country_FIN,1.1354434633394714,-1.1354434633394714
country_IDN,1.1346868234835923,1.1346868234835923
country_CPV,1.1186708760196244,1.1186708760196244
country_PHL,1.0669405938086818,1.0669405938086818
country_MAR,1.0657382604905061,1.0657382604905061
